ID Respondenta,Rola (Člen/Recepcia/Tréner/Admin),Vek,Pohlavie,Skúsenosti (žiadne/mierne/pokročilé),Poznámka,Úloha 1,Úloha 2,Úloha 3,Úloha 4,Úloha 5,Celkový dojem a zhodnotenie.,URL:https://forms.gle/LMTXdhXBVFnYAApr9
R01,Člen,19,M,mierne,,"U:1u  , Č: 0.44   ,Ch: N   , Idea:nic","U:2u  , Č:1.15    ,Ch: N   , Idea:nic","U:u3  , Č: 0.15   ,Ch:N    , Idea:nic","U:u4  , Č: 0.20   ,Ch:N    , Idea:nic","U:  , Č:    ,Ch:    , Idea:","Pekna stranka, jednoducho zrobena, lahke na pouzivanie.",
R02,Člen,22,M,pokročilé,,"U:1u  , Č: 0.50   ,Ch:  N  , Idea: nic","U:2u  , Č:0.10    ,Ch: N    , Idea: nic","U:u3  , Č:0.35    ,Ch: N   , Idea: nic","U:u4  , Č:0.10    ,Ch:N   , Idea: nic","U:  , Č:    ,Ch:    , Idea:","Dobre UI, intuitivne, jednoduché, mozno pridať tutorial alebo nejaky guide, manual na použivanie.",
R03,Člen,18,M,pokročilé,,"U:1u  , Č:0.33  ,Ch: N   , Idea:hladal odhlasenie tlačidlo","U:2u  , Č: 0.20   ,Ch: N   , Idea:nic","U:u3  , Č:0.26    ,Ch:  N  , Idea: nic","U:u4  , Č:0.20    ,Ch:N    , Idea:nevedel hned najsst","U:  , Č:    ,Ch:    , Idea:","Inovativna stranka, prehladna, moderny dizajn, multifunkcna, analyticka.",
R04,Člen,20,M,mierne,,"U:1u  , Č:0.45    ,Ch:N    , Idea:nic","U:2u  , Č:0.23    ,Ch:N    , Idea:nic","U:u3  , Č: 0.22   ,Ch:  N  , Idea: nic,  stale sa to zobrazuje v rezervovat lekciu aj po odstraneni","U:u4  , Č: 0.23   ,Ch:N    , Idea:nie","U:  , Č:    ,Ch:    , Idea:","Vyzera to fajn, je to ok.",
R05,Člen,24,M,žiadne,,"U:1u  , Č: 1.01   ,Ch: N  , Idea: erorr handler ked neni zavinač v maily","U:2u  , Č:0.40    ,Ch:  N  , Idea:nic","U:u3  , Č: 0.24   ,Ch: N   , Idea:okay","U:u4  , Č:0.15    ,Ch:  N  , Idea:nic","U:  , Č:    ,Ch:    , Idea:","Prehladne, dojem dobry.",
R06,Člen,38,M,mierne,,"U:1u  , Č: 0.43   ,Ch:  N , Idea:nic","U:2u  , Č:0.36    ,Ch:  N  , Idea:nic","U:u3  , Č:0.20    ,Ch: N   , Idea:nic","U:u4  , Č:0.07    ,Ch: N   , Idea:nic","U:  , Č:    ,Ch:    , Idea:","Dobre ze je nativna , webova, pekne, je to fajn.",
R07,Člen,24,Ž,mierne,,"U:1u  , Č: 0.47   ,Ch:  N  , Idea:nic","U:2u  , Č:0,21    ,Ch:  N  , Idea:nic","U:u3  , Č:0.20    ,Ch:  N  , Idea:nic","U:u4  , Č: 0.12   ,Ch: N   , Idea:nic","U:  , Č:    ,Ch:    , Idea:","Pačilo sa prehladne, jednoduche, učelne.",
R08,Člen,17,M,žiadne,,"U:1u  , Č: 0.48   ,Ch:  N  , Idea:nic","U2u:  , Č: 0.17   ,Ch: N   , Idea:nic","U:u3  , Č: 0.55   ,Ch: N   , Idea:da sa prihlasit na staru lekciu, na mobile lepšie zobrazenie","U:u4  , Č:0.12    ,Ch:  N  , Idea:fixnut zobtrazenie na  telefonm","U:  , Č:    ,Ch:    , Idea:","Prehladna, ale fix zobrazenie chatu, trenerov.",
R09,Recepcia,20,M,žiadne,,"U:1r  , Č:0.30    ,Ch:A    , Idea:pisal do qrkodu","U:2r  , Č:0.48    ,Ch:kus    , Idea:neukazalo to jak poslednu transakciu","U:3r  , Č: 0.30   ,Ch:N    , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Vyzeralo to dobre, ikony k produktom, lepšie usporianie produktov.",
R10,Recepcia,19,Ž,mierne,,"U:1r  , Č:  0.25  ,Ch:N    , Idea:ok","U:2r  , Č: 0.27   ,Ch:  N  , Idea:ok","U:3r  , Č:0.30    ,Ch:N    , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:",Respondent povedal ze keby tam pracuje tak je spokojny.všetko v poriadku. Pokladna neprehladna ale.,
R11,Recepcia,23,M,žiadne,,"U:1r  , Č: 0.15   ,Ch:  N  , Idea: ok","U:2r  , Č: 0.14   ,Ch: N   , Idea:ok","U:3r  , Č:0.13    ,Ch:N    , Idea:nic","U:  , Č:    ,Ch:    , Idea:","U:  , Č:    ,Ch:    , Idea:","Dobre, prehladne, respodent nema čo vytknut.",
